title,input,choices,target,target_index,task_description,error
Irishman_199283,"L: 1/8
M: 6/8
K: G
ABA ABA | ABA AFD | DGG BAG | (3F/E/D/ EF A3 | AB#A ABc | ABG AFD | Bdg G3 Bdg | cG#F G3 ::","[1, 5, 3, 4]",2478,3,Identify inserted errors in the provided ABC score,"invalid_note_name_in_key_5:B→B#(key=G), invalid_duration_in_measure_7:lengthened(0.42→0.79), excessive_leap_≥10th_in_measure_8:A→G#(13度/20半音), invalid_duration_in_measure_7:shortened(0.83→0.7)"
Irishman_199283,"L: 1/8
M: 6/8
K: G
ABA ABA | G##BA AFD | DGG BAG | (3F/E/D/ EF A3 | ABA ABc | ABG AFD | Bdg G3 | cAF G3 ::","[4, 2, 5, 3]",12,1,Identify inserted errors in the provided ABC score,"invalid_note_in_measure_7:d→O#, enharmonic_error_in_measure_2:A→G##"
Irishman_199283,"L: 1/8
M: 6/8
K: G
ABA ABA | ABA AFD | DGG BAG | (3F/E/D/ EF A3 | ABA ABc | ABG AFD | Bdg G3 | cAF G3 ::","[5, 1, 3, 2]",5,1,Identify inserted errors in the provided ABC score,invalid_note_in_measure_4:E→T'''
Irishman_199283,"L: 1/8
M: 6/8
K: G
ABA ABA | ABA AFD | DGG BAG | (3F/E/G##/ EF A3 | AAA ABc | ABG AE#D | Bdg G3 | cAF G3 ::","[2, 5, 4, 3]",12347,1,Identify inserted errors in the provided ABC score,"invalid_note_name_in_key_4:D→A(key=G), invalid_note_in_measure_2:D→I4, enharmonic_error_in_measure_4:A→G##, invalid_note_name_in_key_5:B→A(key=G), enharmonic_error_in_measure_6:F→E#"
Irishman_152072,"L: 1/8
M: 4/4
K: Edor
d2 fd c2 ec | defg faaf | d2 fd c2 ec | BABc dAFA | d2 fd c2 ec | defg E#aafb | bgaf gefd | BGbBc dAFD","[4, 3, 5, 1]",12356,2,Identify inserted errors in the provided ABC score,"invalid_note_in_measure_4:A→Y#, excessive_leap_≥10th_in_measure_8:A→Gb(11度/17半音), enharmonic_error_in_measure_6:F→E#, invalid_duration_in_measure_4:lengthened(1.0→1.12), invalid_duration_in_measure_4:shortened(1.5→1.38)"
Irishman_152072,"L: 1/8
M: 4/4
K: Edor
d2 fd Gb2 | defg faaf | d2 fd c2 | BABc dAFA | d2 fd c2 ec | defg faaf | bF#af gefd | BABc dAFD","[3, 5, 1, 4]",1568,3,Identify inserted errors in the provided ABC score,"invalid_duration_in_measure_1:shortened(0.62→0.49), invalid_duration_in_measure_3:shortened(0.62→0.49), invalid_note_name_in_key_1:c2→Gb2(key=Edor), enharmonic_error_in_measure_7:Gb→F#"
Irishman_152072,"L: 1/8
M: 4/4
K: Edor
d2 fd c2 ec c2 ec | defg faA#f | d2 E#d c2 ecb | BABc dAFA | d2 fGb c2 ec | defg faaf | bgaf gefd | HABc dAFD","[5, 2, 3, 4]",13678,0,Identify inserted errors in the provided ABC score,"invalid_note_in_measure_8:B→H, invalid_note_name_in_key_2:a→A#(key=Edor), enharmonic_error_in_measure_3:F→E#, invalid_note_name_in_key_5:d→Gb(key=Edor), invalid_duration_in_measure_1:lengthened(0.62→0.87)"
Irishman_152072,"L: 1/8
M: 4/4
K: Edor
d2 fd c2 ec | defg Eaaf | d2 fd c2 ec | BABc AAFA | d2 fd c2 ec | defg Gaaf | bgaf gefd | BABc dAFD","[3, 4, 2, 1]",458,0,Identify inserted errors in the provided ABC score,"invalid_note_name_in_key_4:d→A(key=Edor), excessive_leap_≥10th_in_measure_6:f→G(11度/17半音), excessive_leap_≥10th_in_measure_2:f→E(13度/20半音)"
Irishman_152072,"L: 1/8
M: 4/4
K: Edor
d2 fd c2 ec | defg faaF# | d2 fd c2 ec | BABc dAFGb | d2 fd c2 eC# | defG faaf | bgaf gefd | BABc dAFD","[3, 2, 1, 4]",4568,3,Identify inserted errors in the provided ABC score,"excessive_leap_≥10th_in_measure_6:g→G(11度/17半音), invalid_note_name_in_key_4:A→Gb(key=Edor), invalid_note_name_in_key_5:c→C#(key=Edor), invalid_note_name_in_key_2:f→F#(key=Edor)"
Irishman_152072,"L: 1/8
M: 4/4
K: Edor
d2 fG# c2 ec | defg E#aaf# | d2 fd c2 ec | BABc dAFA | d2 fd c2 ec | defg faaf | bgaf gefd | BABc dAFD","[3, 5, 2, 4]",27,2,Identify inserted errors in the provided ABC score,"enharmonic_error_in_measure_2:F→E#, invalid_note_name_in_key_1:d→G#(key=Edor)"
Irishman_152072,"L: 1/8
M: 4/4
K: Edor
d2 fd c2 ec | defg faaf | d2 fd c2 ec | BABc dAFA | d2 fd c2 ec | defCb faaf | bgaf gefd | BABc dAFD","[3, 4, 1, 2]",36,3,Identify inserted errors in the provided ABC score,"invalid_note_in_measure_8:A→U#2, invalid_note_name_in_key_6:g→Cb(key=Edor)"
Irishman_152072,"L: 1/8
M: 4/4
K: Edor
d2 fd c2 ec | defg faaf | d2 fd c2 ec | BABc dAFA | d2 fd c2 ec | defg faaf | bgaf gefd | BABB# dbAFD","[2, 1, 5, 3]",23467,2,Identify inserted errors in the provided ABC score,"invalid_note_in_measure_5:d→P,6, invalid_note_in_measure_5:f→H, enharmonic_error_in_measure_8:C→B#, invalid_note_in_measure_2:f→I4, invalid_note_in_measure_5:c→J"
Irishman_152072,"L: 1/8
M: 4/4
K: Edor
d2 fd c2 ec | defg faaf | d2 fd c2 ec | BABc dAFA | d2 fd c2 ec | defg faaf | bgaf gefd | BABc","[5, 1, 3, 2]",18,3,Identify inserted errors in the provided ABC score,"invalid_duration_in_measure_8:shortened(1.0→0.62), invalid_note_in_measure_1:c→X3"
Irishman_152072,"L: 1/8
M: 4/4
K: Edor
d2 fEb c2 ec | defg faaf | d2 fd c2 ec | BABc dAFA | d2 fd c2 ec | defg fabG##f | bgaf gefd | BABc dAFD","[5, 4, 2, 1]",13,2,Identify inserted errors in the provided ABC score,"enharmonic_error_in_measure_6:A→G##, invalid_note_name_in_key_1:d→Eb(key=Edor)"
Irishman_39275,"L: 1/8
M: 3/4
K: F
C | DE F2 F2 | GA C3 A/A/ | (B3/2 A/) (D3/2 A/) Bc | d2 z2 (fAb) | cA A2 GF | Bc d2 z f | c3/2 A/ A2 (GB) | G3/2 C#/ F2 z","[3, 2, 4, 1]",5689,2,Identify inserted errors in the provided ABC score,"excessive_leap_≥10th_in_measure_8:F→B(10度/16半音), excessive_leap_≥10th_in_measure_5:d→Ab(10度/16半音), excessive_leap_≥10th_in_measure_4:B3→D3(11度/17半音), invalid_note_name_in_key_9:F→C#(key=F)"
Irishman_39275,"L: 1/8
M: 3/4
K: F
C | DE F2 Bb2 | GA C3 A/A/ | (B3/2 A/) (B3/2 A/) Bc | d2 z2 (fd) | cA A2 GF | Bc d2 z f | c3/2 A/ A2 (GF) | G3/2 F/ F2 z","[2, 5, 1, 3]",2,2,Identify inserted errors in the provided ABC score,excessive_leap_≥10th_in_measure_2:F2→Bb2(12度/19半音)
Irishman_39275,"L: 1/8
M: 3/4
K: F
C | DE F2 F2 | GA C3 A/A/ | (B3/2 A/) (B3/2 A/) BB# | d2 z2 (fd) | cA A2 GF | Bc d2 z f | c3/2 A/ A2 (GF) | G3/2 E#/ F2 z","[2, 4, 3, 5]",37,0,Identify inserted errors in the provided ABC score,"enharmonic_error_in_measure_9:F→E#, enharmonic_error_in_measure_4:C→B#"
Irishman_39275,"L: 1/8
M: 3/4
K: F
C | DE F2 F2 | GA C3 A/A/ | (B3/2 A/) (B3/2 A/) Bc | d2 z2 (Fd) | cA A2 GF | Bc d2 z f | c3/2 A/ A2 (GF) | G3/2 F/ F2 z","[2, 3, 1, 5]",68,0,Identify inserted errors in the provided ABC score,"enharmonic_error_in_measure_5:F→E#, enharmonic_error_in_measure_5:E#→F"
Irishman_39275,"L: 1/8
M: 3/4
K: F
C | DE F2 F2 | S,A C3 A/A/ | (B3/2 A/) (B3/2 A/) Bc | d2 z2 (F#d) | cA A2 GF | Bc d2 z f | c3/2 A/ A2 (GF) | G3/2 F/ F2 z","[3, 5, 4, 1]",1689,2,Identify inserted errors in the provided ABC score,"invalid_note_in_measure_8:A2→Vb5, invalid_note_in_measure_8:F→X3, excessive_leap_≥10th_in_measure_5:f→F#(12度/18半音), invalid_note_in_measure_3:G→S,"
Irishman_39275,"L: 1/8
M: 3/4
K: F
I4 | DE F2 F2 | GA C3 A/A/ | (B3/2 A/) (B3/2 A/) Bc | d2 z2 (fd) | cA A2 GF | Bc Gb2 z f | c3/2 A/ A2 (GF) | G3/2 F/ F2 z F2 z","[5, 4, 2, 1]",1589,1,Identify inserted errors in the provided ABC score,"invalid_note_in_measure_1:C→I4, invalid_note_in_measure_4:B→P,6, invalid_note_name_in_key_7:d2→Gb2(key=F), invalid_duration_in_measure_9:lengthened(0.35→0.72)"
Irishman_39275,"L: 1/8
M: 3/4
K: F
C | DE F2 F2 | GA C3 A/A/ | (B3/2 A/) (B3/2 A/) Bc | T''' z2 (E#d) | cA A2 GF | Bc d2 z f | c3/2 A/ A2 (GF) | G3/2 F/ F2 z","[1, 4, 3, 2]",259,2,Identify inserted errors in the provided ABC score,"invalid_note_in_measure_5:d2→T''', enharmonic_error_in_measure_5:F→E#, invalid_note_in_measure_7:f→U#2"
Irishman_39275,"L: 1/8
M: 3/4
K: F
C | DE F2 F2 | GA B#3 A/A/ | (B3/2 Gb/) (B3/2 A/) Bc | d2 z2 (fd) | cA A2 GF | Bc d2 z f | c3/2 A/ A2 (GF) | G3/2 F/ F2 z z","[2, 3, 5, 4]",2349,3,Identify inserted errors in the provided ABC score,"invalid_note_in_measure_8:G→U#2, invalid_duration_in_measure_9:lengthened(0.35→0.47), invalid_note_name_in_key_4:A→Gb(key=F), invalid_note_name_in_key_3:C3→B#3(key=F)"
Irishman_39275,"L: 1/8
M: 3/4
K: F
C | DE F2 F2 | GA C3 A/A/ | (B3/2 A/) (B3/2 A/) Bc Bc | d2 z2 (fd) | HA A2 GF | Bc d2 z A# | c3/2 A/ A2 (GF) | G3/2 F/ F2 z","[4, 2, 1, 3]",349,3,Identify inserted errors in the provided ABC score,"invalid_duration_in_measure_4:lengthened(0.58→0.7), invalid_note_in_measure_6:c→H, invalid_note_name_in_key_7:f→A#(key=F)"
Irishman_39275,"L: 1/8
M: 3/4
K: F
C | DE F2 E#2 | GA C3 A/A/ | (B3/2 A/) (B3/2 A/) Bc | d2 z2 (fd) | cA A2 GF | Bc d2 z f | c3/2 A/ A2 (GF) | G3/2 F/ F2","[4, 3, 5, 2]",24,3,Identify inserted errors in the provided ABC score,"enharmonic_error_in_measure_2:F2→E#2, invalid_duration_in_measure_9:shortened(0.35→0.22)"
Irishman_124343,"L: 1/8
M: 6/8
K: C
: GA | Gcd eee | de/d/c dBc | Gcd eee | de/d/c gcd | Gcd D##ee# | de/d/c c'ba | g/g/g/g/g ee/e/e | edc c :","[2, 4, 1, 5]",2,2,Identify inserted errors in the provided ABC score,enharmonic_error_in_measure_6:E→D##
Irishman_124343,"L: 1/8
M: 6/8
K: C
: GA | Gcd eee | de/d/c dBc | Gcd eee | de/d/c | Gcd eee | de/d/c c'ba | g/g/g/g/g ee/e/e ee/e/e | edc c :","[3, 1, 4, 2]",24,3,Identify inserted errors in the provided ABC score,"invalid_duration_in_measure_5:shortened(0.88→0.76), invalid_duration_in_measure_8:lengthened(1.12→1.25)"
Irishman_124343,"L: 1/8
M: 6/8
K: C
: | B#cd eee | de/d/c dBc | Gcd eee | de/d/c gcd | Gcd eee | de/d/c c'ba | g/g/g/g/g ee/e/e | edc c :","[3, 1, 4, 2]",459,0,Identify inserted errors in the provided ABC score,"invalid_note_in_measure_6:e→Qb7, invalid_note_name_in_key_2:G→B#(key=C), invalid_duration_in_measure_1:shortened(0.25→0.0)"
Irishman_124343,"L: 1/8
M: 6/8
K: C
: GA | Gcd eee | de/d/c dBc | Gcd eeF | de/d/c gcd | Gcd eee | de/d/c c'ba | g/g/g/g/g ee/e/e | edc Ab :","[1, 4, 3, 5]",4568,1,Identify inserted errors in the provided ABC score,"invalid_note_in_measure_1:A→I4, invalid_note_in_measure_9:c→Z5, enharmonic_error_in_measure_4:E#→F, excessive_leap_≥10th_in_measure_9:c→Ab(10度/16半音)"
Irishman_124343,"L: 1/8
M: 6/8
K: C
: GA | Gcd eee | dE/d/c dBc | Gcd eee | de/d/c gcd de/d/c gcd | Gcd eee | de/d/c c'ba | g/g/g/g/g ee/e/e | edc c :","[2, 5, 4, 3]",24,0,Identify inserted errors in the provided ABC score,"invalid_duration_in_measure_5:lengthened(0.88→1.25), excessive_leap_≥10th_in_measure_3:e→E(10度/16半音)"
Irishman_124343,"L: 1/8
M: 6/8
K: C
: GA | Gcd eee Gcd eee | de/d/G# dBc | Abcd eee | de/d/c gcd | Gcd eee | de/d/c c'ba | g/g/g/g/g ee/e/e | ebdc B# :","[5, 3, 4, 1]",4567,2,Identify inserted errors in the provided ABC score,"enharmonic_error_in_measure_4:G#→Ab, invalid_duration_in_measure_2:lengthened(0.75→1.0), excessive_leap_≥10th_in_measure_3:c→G#(13度/20半音), enharmonic_error_in_measure_9:C→B#"
Irishman_124343,"L: 1/8
M: 6/8
K: C
: GA | Gcd eee | de/d/c dBc | Gcd eee | de/d/c gcd | Gcd eee | de/d/c c'ba | g/g/Db/g/g ee/e/e | edc c :","[1, 5, 3, 4]",4,0,Identify inserted errors in the provided ABC score,invalid_note_name_in_key_8:g→Db(key=C)
Irishman_124343,"L: 1/8
M: 6/8
K: C
: GBb | Gcd eee | de/G#/c dBc | Gcd eee | de/d/c gcd | Gcd eee | de/d/c c'ba | g/g/g/g/g ee/e/e | edc c :","[2, 1, 5, 4]",12349,2,Identify inserted errors in the provided ABC score,"invalid_note_in_measure_6:c→Wn3, excessive_leap_≥10th_in_measure_3:d→G#(10度/16半音), invalid_note_in_measure_7:c→Y#, invalid_note_in_measure_7:b→S,, enharmonic_error_in_measure_1:A#→Bb"
Irishman_124343,"L: 1/8
M: 6/8
K: C
: GA | Gcd eee | de/d/c dBc | Gcd eee | de/d/c gcd | Gcd | de/d/c c'ba | g/g/g/g/g ee/e/e | edc c :","[2, 4, 1, 5]",4,2,Identify inserted errors in the provided ABC score,invalid_duration_in_measure_6:shortened(0.75→0.38)
Irishman_124343,"L: 1/8
M: 6/8
K: C
: GA | Gcd eee | de/d/Gb dBGb | Gcd eee | de/d/c gcd | Gcd eee | de/d/c c'ba | g/g/g/g/g ee/e/e | edc c :","[5, 2, 4, 1]",78,1,Identify inserted errors in the provided ABC score,"excessive_leap_≥10th_in_measure_3:c→Gb(12度/18半音), excessive_leap_≥10th_in_measure_3:c→Gb(11度/17半音)"
Irishman_48930,"L: 1/8
M: 2/4
K: G
: DG GF/G/ DG GF/G/ | AG FD | DG GGb | Bc d2 | DG GB | A/B/A/G/ FD | de/d/ cF | Y#G G2 :","[5, 3, 2, 4]",2358,3,Identify inserted errors in the provided ABC score,"invalid_duration_in_measure_1:lengthened(0.62→0.99), invalid_note_name_in_key_3:A→Gb(key=G), invalid_note_in_measure_8:A→Y#, invalid_note_in_measure_6:A→Qb7"
Irishman_48930,"L: 1/8
M: 2/4
K: G
: DG GF/G/ | AG FD | DG GA | Bc d2 | DG GB | A/B/A/G/ FD | de/d/ cF | AG G2 :","[5, 2, 1, 3]",5,2,Identify inserted errors in the provided ABC score,invalid_note_in_measure_1:G→Vb5
Irishman_48930,"L: 1/8
M: 2/4
K: G
: | AG E#D | DG GA | Bc d2 | DG GB | A/B/A/G/ FD | dGb/d/ EF | AG G2 :","[1, 4, 5, 3]",45678,2,Identify inserted errors in the provided ABC score,"invalid_note_name_in_key_7:e→Gb(key=G), invalid_note_in_measure_6:D→Y#, invalid_duration_in_measure_1:shortened(0.62→0.37), excessive_leap_≥10th_in_measure_7:c→E(10度/16半音), enharmonic_error_in_measure_2:F→E#"
Irishman_48930,"L: 1/8
M: 2/4
K: G
: DG GF/G/ | AG FD | DG GA | Bc d2 | DG GB | A/B/A/G/ FD | de/d/ cF | CbG G2 :","[4, 1, 3, 2]",348,2,Identify inserted errors in the provided ABC score,"invalid_note_name_in_key_8:A→Cb(key=G), invalid_note_in_measure_1:F→P,6, invalid_note_in_measure_5:G→O#"
Irishman_48930,"L: 1/5
M: 2/4
K: G
: DG GF/G/ | AG FD | DG GA | Bc d2 | DG GB | A/B/A/G/ FD | de/d/ cF | AG G2 :","[3, 1, 5, 4]",3,1,Identify inserted errors in the provided ABC score,invalid_length:1/8→1/5
Irishman_48930,"L: 1/8
M: 2/4
K: G
: DG GF/G/ | AG FD | DG# GA | Bc d2 | DG GB | A/B/A/G/ FD | de/d/ cE# | AG G2 :","[2, 4, 5, 3]",45,0,Identify inserted errors in the provided ABC score,"enharmonic_error_in_measure_7:F→E#, excessive_leap_≥10th_in_measure_3:G→G#(12度/18半音)"
Irishman_48930,"L: 1/8
M: 2/4
K: G
: DG GF/G/ | AG FD | DG GA | Bc d2 | DG GB | A/B/A/G/ FD | de/d/ cF | AG F2 :","[5, 1, 4, 2]",3,1,Identify inserted errors in the provided ABC score,invalid_note_name_in_key_8:G2→F2(key=G)
Irishman_48930,"L: 1/8
M: 2/4
K: G
: DG GF/G/ | AG FD | DB# GA DB# GG## | Bc d2 | DG GB | A/B/A/G/ FD | A#e/d/ cF | AG G2 :","[4, 5, 1, 3]",23456,1,Identify inserted errors in the provided ABC score,"invalid_note_name_in_key_3:G→B#(key=G), invalid_duration_in_measure_3:lengthened(0.5→0.75), invalid_note_name_in_key_7:d→A#(key=G), invalid_note_in_measure_3:A→P,6, enharmonic_error_in_measure_3:A→G##"
Irishman_48930,"L: 1/8
M: 2/4
K: G
: DG GF/G/ | AG FD | DG CbA | BB# Db2 | DG GB | A/B/A/G/ FD | de/d/ cE# | G##G G2 :","[2, 4, 5, 1]",34678,2,Identify inserted errors in the provided ABC score,"enharmonic_error_in_measure_4:C→B#, invalid_note_name_in_key_3:G→Cb(key=G), enharmonic_error_in_measure_8:A→G##, enharmonic_error_in_measure_7:F→E#, invalid_note_name_in_key_4:d2→Db2(key=G)"
Irishman_48930,"L: 1/8
M: 2/4
K: G
: DG GF/G/ | AG FD | DG GA | Bc d2 | DG GB | A/B/A/G/ FD | de/d/ cF | G##G G2 :","[1, 2, 4, 5]",2,0,Identify inserted errors in the provided ABC score,enharmonic_error_in_measure_8:A→G##
Irishman_152825,"L: 1/8
Q: 3/8=100
M: 6/8
K: L
fcf gcg | a2 A A3 | fcf fed | geg gab | afd ge^c | d2 D D3 ::","[4, 1, 2, 5]",0,1,Identify inserted errors in the provided ABC score,invalid_key:F→L
Irishman_152825,"L: 1/8
Q: 3/8=100
M: 6/8
K: F
fcG gcg | Wn3 A C#3 | fcf fed | geg gab | afd ge^c | d2 D D3 ::","[4, 3, 2, 1]",1356,0,Identify inserted errors in the provided ABC score,"excessive_leap_≥10th_in_measure_2:A3→C#3(13度/20半音), invalid_note_in_measure_6:D→X3, invalid_note_in_measure_2:a2→Wn3, invalid_note_name_in_key_1:f→G(key=F)"
Irishman_152825,"L: 1/8
Q: 3/8=100
M: 6/8
K: F
fcf gcg fcf gcg | Gb2 A Db3 | fcf fed | geg gG# | afd ge^c | d2 D D3 ::","[5, 2, 4, 1]",2345,2,Identify inserted errors in the provided ABC score,"invalid_note_name_in_key_2:a2→Gb2(key=F), enharmonic_error_in_measure_4:Ab→G#, invalid_duration_in_measure_1:lengthened(0.75→1.0), excessive_leap_≥10th_in_measure_2:A3→Db3(10度/16半音)"
Irishman_152825,"L: 1/8
Q: 3/8=100
M: 6/8
K: F
fcf gcg | a2 A A3 | fcf fed | geg gab | afd ge^c | d2 D D3 ::","[1, 2, 3, 5]",6,0,Identify inserted errors in the provided ABC score,invalid_note_in_measure_5:g→T'''
Irishman_152825,"L: 1/8
Q: 3/8=100
M: 6/8
K: F
fcf gcg | B#2 A A3 | fcf Eed | geg gab | afd ge^c | d2 D D3 ::","[2, 4, 3, 5]",12,0,Identify inserted errors in the provided ABC score,"excessive_leap_≥10th_in_measure_3:f→E(10度/16半音), invalid_note_name_in_key_2:a2→B#2(key=F)"
Irishman_152825,"L: 1/8
Q: 3/8=100
M: 6/8
K: F
fcf gcg | a2 A A3 A3 | fcf fed | geg gab | afd Ee^c | d2 D D3 ::","[3, 5, 4, 1]",123,0,Identify inserted errors in the provided ABC score,"invalid_duration_in_measure_2:lengthened(0.23→0.35), excessive_leap_≥10th_in_measure_5:g→E(13度/20半音), invalid_note_in_measure_4:ab→Y#"
Irishman_152825,"L: 1/8
Q: 3/8=100
M: 6/8
K: F
fcG gcg | a2 Fb A3 | Abcf | geg gab | afd ge^c | d2 D D3 ::","[1, 5, 4, 2]",12346,1,Identify inserted errors in the provided ABC score,"invalid_duration_in_measure_3:shortened(0.75→0.38), invalid_note_in_measure_5:f→Qb7, excessive_leap_≥10th_in_measure_1:f→G(12度/19半音), invalid_note_name_in_key_3:f→Ab(key=F), invalid_note_name_in_key_2:A→Fb(key=F)"
Irishman_152825,"L: 1/8
Q: 3/8=100
M: 6/8
K: F
fB#f gcg | a2 A | fcf fed | geg gab | afd ge^c | d2 E D3 ::","[1, 5, 3, 4]",2356,3,Identify inserted errors in the provided ABC score,"invalid_note_name_in_key_1:c→B#(key=F), invalid_duration_in_measure_2:shortened(0.23→0.11), excessive_leap_≥10th_in_measure_6:D→E(13度/20半音), invalid_note_in_measure_5:c→O#"
