title,input,choices,target,target_index,task_description
Duncan's Waltz,"M:3/4
L:1/4
K:C
G|:""C""c2c|""G""dcA","['""C""G/2c3/2E', '""G""D3/2A/2G', '""F""A3/2G/2F', '""C""EGc']",0132,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Espresso Polka,"N:/f2Ideal for G/D melodeon/fP
M:2/4
L:1/4
K:G
f/2|:""G""g/2d/2 ""C""e/2f/4e/4|""G""d/2B/2 ""D""c/2d/4c/4","['""G""B/2G/2 ""D""A/2F/2', '\
""G""G/4A/4B/2 ""D""A', '""G""d/2B/2 ""D""c/2d/4c/4', '""G""g/2d/2 ""C""e/2f/4e/4', '""G""G/2B/2 G:', '""G""B/2G/2 ""D""A/2F/2']",513204,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Falling About,"M:4/4
L:1/4
K:E
""E""eE (3G/2F/2E/2B/2G/2|c/2B/2G/2B/2 c/2B/2c/2d/2|c/2B/2G/2B/2 c/2B/2c/2d/2","['c/2B/2G/2B/2 c/2B/2c/2d/2', '\
""D""=d/2B/2A/2F/2 A/2B/2d/2^d/2', '\
e/2A/2(3c/2B/2A/2 f/2B/2(3d/2c/2B/2', 'c/2B/2G/2B/2 c/2B/2c/2d/2']",1302,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Flapjack,"M:4/4
L:1/4
K:F
[ac]|:""C""[g3/2B3/2][f/2 B/2 ][eB][dB]|""F""[c3/2A3/2][c/2 A/2 ][gA][cA]","['""F""[c3/2A3/2][c/2 A/2 ][gA][cA]', '""F""[c3/2A3/2][c/2 A/2 ][fA][ac]', '\
""C""[c3/2B3/2][c/2 B/2 ][gB][cB]', '""C""[g3/2B3/2][f/2 B/2 ][eB][dB]']",2130,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Fradley Reel,"M:4/4
L:1/4
K:C
G/2|:""C""c/2d/2e/2c/2 ""F""A/2c/2F|""C""c/2d/2e/2c/2 ""G""B/2d/2d","['K:G', '""D""cA/2c/2 ""G""B/2d/2g/2d/2', ':""D""cA/2c/2 ""G""d/2B/2G/2B/2', '\
""C""e/2d/2c/2e/2 ""D""d/2c/2d/2c/2', '""G""B/2c/2d/2g/2 ""C""e/2c/2c/2B/2:']",34021,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Harper's Frolick,"M:2/4
L:1/4
K:D
A/2|:""D""A/2F/2 D/2A/2|""D""F/2A/2 D/2d/2","['\
""D""F/2A/2 D/2A/2', '""D""d/4c/4d/4e/4 d/2A/2', '""D""F/2A/2 D/2d/2', '""A""c/2d/2 e/2c/2']",3102,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
London,"M:2/4
L:1/4
K:A
""A""e3/4a/4 e/2d/2|""D""B3/4A/4 ""A"" B/2c/2|""Bm""d3/4c/4 ""A"" d/2e/2","['""A""c/2e/2 A/2e/2', '""D""f/2g/2 a/2f/2', '""A""A/2A/4A/4 A:', '""A""e/2c/2 ""E""B/2c/2', '\
""D""f/2g/2 a/2f/2', '""A""e/2f/2 e/2c/2']",451320,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
One More Dance \& Then,"M:2/4
L:1/4
K:G
B/2c/2|:""G""d3/4e/4 d/2B/2|""G""g B/2c/2","['""Em""g/2f/2 ""Bm""e/2d/2', '""C""e/2d/2 ""D""c/2B/2', '""Am""c/2 AB/4c/4\', '""G""d3/4e/4 ""D""d/2B/2', '""G""d3/4e/4 ""Em""d/2B/2']",42301,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Racoon Reel,"N:/f2Play AABA last time/fP
M:2/4
L:1/4
K:A
""A""C/2C/4D/4 E/2E/4F/4|E/2E/4F/4 E/4D/4C/4D/4|E/2E/4F/4 E/2E/4F/4","['""A""C/2C/4D/4 E/2E/4F/4', 'E/2E/4F/4 E/2D/2', 'E/2E/4F/4 E/4D/4C/4D/4', '\
E/2C/2 ""E""B,/2^B,/2', '\
""E""C/2B,/2 ""A""A,:']",30214,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Roman Reel,"M:2/4
L:1/4
K:A
""A""e3/4A/4 a3/4e/4|""D""f3/4e/4 d3/4c/4|""E""B3/4c/4 d3/4e/4","['""A""A3/2e/2:', '\
""A""e3/4A/4 a3/4e/4', '""D""f3/4e/4 d3/4c/4', '""A""c3/4B/4 A3/4e/4', '""E""B3/4d/4 c3/4B/4']",31240,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Russian Dance,"M:2/4
L:1/4
K:C
(3a/4g/4f/4|:""C""e/2c/2 ""G""B/2d/2|""C""c3/2""F""F/2","['""G""B/2dg/4f/4', '""C""e/2c/2 ""G""B/2d/2', '""C""E/2G/2 ""D""A/2c/2', '""C""E/2G/2 ""G""e/2B/2', '[1""C""c3/2 (3a/4g/4f/4:', '\
""C""e/2c/2 ""G""B/2d/2']",205134,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Sallylun Jig,"M:6/8
L:1/8
K:D
""D""d3 DFA|""Em""e3 EGB|ede gfe","['""D""d3 DCD', 'ede ged', '""A""Ace ""D""d3:', '""Em""e3 E^DE', '""Em""dcB ""A""ABc', '""A""cde ""Bm""def']",403125,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
The Scotch Ramble,"M:4/4
L:1/4
K:A
""A""A/4A/4A/2A/2c/2 e/2c/2A/2c/2|""E""B/4B/4B/2G/2B/2 dc/2B/2|\
""A""A/4A/4A/2A/2c/2 e/2c/2""E""d/2B/2","['""A""c/2e/2e/2f/4g/4 ae/2c/2', 'a/2e/2c/2A/2 ""E""B/4B/4B/2B/2d/2', '""A""c3/4e/4""E""B/2c/2 ""A""A/4A/4A/2A:', '\
""A""c/2A/2e/2A/2 a/2e/2c/2A/2']",2013,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
The Sluggard Tapper,"N:""From A.Train's song""
M:3/4
L:1/4
K:D
P:A
""D""a2f|d3/2e/2f|""G""B3/2c/2d","['""A""e3', '""A""A2g', '""D""f3/2e/2d', '""E""B3/2c/2d', 'a2A']",12430,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Spanish Dance,"M:2/4
L:1/4
K:D
""D""D/4A/4F/4A/4 ""G""D/4B/4G/4B/4|""D""D/2e/4f/4 ""A""g/4f/4f/4e/4|\
""D""D/4A/4F/4A/4 ""Em""D/4e/4f/4g/4","['""D""F/2""A""E/2 ""D""D:', '\
""D""a/4f/4d/4A/4 ""G""B/4c/4d/4G/4', '""A""e/4c/4A/4g/4 ""D""f/2""A""e/4A/4', '""A""f/4e/4d/4c/4 ""D""d', '""A""e/4c/4A/4g/4 ""D""f/4d/4A/4a/4']",34210,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Stepping Stone,"M:3/4
L:1/4
K:G
""G""e2d|B3/2A/2G|""Am""A2B","['""G""GBe', 'E3', '""C""A2B', '""D""E2F']",1230,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
The Toastmaster,"N:/f2Can be played fast or sedate/fP
M:4/4
L:1/4
K:G
d2 B3/2d/2|""G""g3d|""C""e/2d/2c/2B/2 ""D""A/2e/2d/2c/2","['\
""G""B/2A/2G/2F/2 G/2D/2G/2B/2', '""G""BG G/2A/2B/2c/2:', '[1""C""e/2d/2c/2B/2 ""D""A/2e/2d/2c/2', 'd2 B3/2d/2', '[2""D""e/2d/2c/2B/2 A/2e/2d/2f/2', '""G""g3d']",035214,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
The Trouper,"M:4/4
L:1/4
K:G
B,C ^C|:""G""DB B^A/2B/2|BG D^D","['""A""EB B^A/2B/2', 'B2 E=F', '""G""BG ""Am""E_E', 'BA2^A', '""D""FB BA/2B/2']",01432,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Verdi's Waltz,"M:3/4
L:1/4
K:C
P:A
""C""[C2E2][DF]|[E3G3]|""F""[F2A2][GB]","['[d3f3]', '[A3c3]', '""G""[B2d2][ce]', '""C""[c2e2][df]']",1203,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Via Gellia,"M:6/8
L:1/8
K:G
P:A
D\
P:B|:""G""Gz2""D""Az2|""G""B3 -B2d","['\
""G""B3 -""Em""B2d', '""G""BAG ""D""A2d', '""Am""BAG ""D""A2F', '""G""BAG ""D""A2D', '""G""Gz2""D""Az2']",13402,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Washtap Reel,"M:4/4
L:1/4
K:G
P:A
DE \
P:B|:""G""G2 AG|ED EG","['""D7""=F2DE:', '[1""G""G3/2A/2 BG', '""D""BA Bd', 'B3/2d/2 gB', '""G""dB ""D""cA', '""C""e3/2f/2 ge']",325410,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Aunt Hessie's White Horse,"M:4/4
L:1/8
K:G
P:A
d2|""G""G2A2 B2c2|""G""dd2d d2d2","['\
""G""dd2d d2d2', '""Em""dd2d d2d2', '""D7""dd2d d2d2', '""G""G2A2 B2c2']",1230,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Barn Dance 1,"M:4/4
L:1/8
K:D
P:A
(3fg^g|""D""a2a2 f2f2|""D""dA^GA B2A2","['""A7""cA^GA B2A2', '""Em""g2g2 e2e2', '""A7""cAce ba(3gfe', '""D""dA^GA B2A2', '""D""a2a2 f2f2']",10432,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Barn Dance 2,"M:4/4
L:1/8
K:G
P:A
d2|""G""D2EF G2B_B|""G""(3ABAGA Bd3","['""C""g2fe ""G""dBGB', '""Am""AEFG ""D7""A2d2', '""C""g2fe ""G""dBGB', '""G""D2EF G2B_B', '""G""(3ABAGA Bd3']",01342,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
The Blackbird,"M:4/4
L:1/8
K:G
(3DFA|""D""B2AF A2Bc|""Bm""dcdF ""A7""G2FG","['""D""A2fe ""A7""dBAG', '""D""B2AF A2Bc', '""D""F2D2 ""A7""D4', '""D""F2D2 ""A7""D2(3DFA', '""Bm""dcdF ""A7""G2FG', '""D""A2fe ""A7""dBAG']",031452,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Blue Bell Polka,"P:ABACA
M:4/4
L:1/8
K:G
P:A
(3Bdg|:""G""b2b2 gfge|""G""d2d2 B2G2","['""G""b2b2 gfge', '""G""d2d2 B2G2', '""G""ed^cd ""D7""B2(3Bdg', '""D7""FGAB c2e2']",3201,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Beaux of Oakhill,"M:4/4
L:1/8
K:D
P:A
dB|""D""BAFA DAFA|""G""BA(3Bcd ""A7""e2de","['""D""fgaf ""A7/e""egfe', '""D/f+""dfed ""G""B2dB', '""D""BAFA DAFA', '""G""BA(3Bcd ""A""e2de']",0123,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Caber Feigh,"M:4/4
L:1/8
K:C
G2|:""C""c2ed c2GB|""C""c2GF E/2C3/2C2","['""C""c2ed c2GB', '""Dm""d2AG F/2D3/2D2', '""C""c2GF E/2C3/2CE', '""Dm""defe d2A^c', '""Dm""DEFG ABcA', '""Dm""d2AG F/2D3/2D2']",310245,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Castles in the Air,"M:4/4
L:1/8
K:G
P:A
(3DEF|""G""G2GB ""D7""D2(3DEF|""G""GFGA ""G7""B4","['""G""GFGA ""G7""B4', '""D7""BcBA ""G""G2:', '""A7""ABAG ""D7""E2(3DEF', '""C""cBce ""G""dBGA', '""G""G2GB ""D7""D2(3DEF', '""C""cBce ""G""dBAG']",524031,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Colosseum,"M:4/4
L:1/8
K:A
P:A
E2|""A""A2A2 ""E7""AcBd|""A""c2c2 ""D""cedf","['""A""eagf ""E7""edcB', '""A""ABcA ""E7""dBGE', '""A""c2c2 ""D""cedf', '""A""A2A2 ""E7""AcBd', '""A""eagf edcB']",41320,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
The Cuckoo,"M:4/4
L:1/8
K:G
P:A
GA|""G""BGDB ""D7/a""cADc|""G""d^cde dBGF","['""C""E2cB ""Am""AGFG', '""C""E2cB ""Am""AGFG', '""A7""(3ABA(3GFE ""D7""D2dc', '""G""BGDB ""D7/a""cADc', '""G""d^cde dBGF']",02341,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Cuckoo's Nest,"M:4/4
L:1/8
K:Dm
""Dm""D2DE DCA,C|""Dm""DCDE F2""C7""FA|""F""c2cd A2GF","['""Dm""E2""Gm""D2 ""Dm""D2', '""Dm""D2DE DCA,C', '""F""ABcA ""A7""GFEF', '""C""ECCC C2""A7""FE', '""Dm""DCDE F2""C7""FG']",31420,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Down the Glen,"M:4/4
L:1/8
K:D
P:A
A2|""D""DDFA ""G""BA(3Bcd|""D""DDFA d2(3cd^d","['""A""eAce ""D""faec', '""D""ADFA ""G""BA(3Bcd', '""A7""dedc ""D""d2:', '""Em""(3efe(3dcB ""A7""(3ABA(3GFG', '""D""DDFA d2(3cd^d', '""A""eAce ""D""fe(3f^ga']",531402,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Fisher's Hornpipe,"M:4/4
L:1/8
K:D
P:A
(3ABc|""D""dAFA ""G""GBAG|""D""FAFA ""G""GBAG","['""D""dAFA ""G""GBAG', '""D""FDFD ""A7""GEGE', '""D""FAFA ""G""GBAG', '""D""FDFD ""A7""EA(3ABc', '""D""d2f2 d2:', '""D""FAdA ""A7""fedc']",130254,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
The Friendly Visit,"M:4/4
L:1/8
K:G
P:A
BA|""G""(3GFGDG BGBd|""C""(3cBcAB ""D7""cdef","['""G""gdBG ""D7""FAdc', '""G""B2G2 G2:', '""Am""FGAB ""D7""cAFD', '""G""(3GFGDG BGBd', '""C""(3cBcAB ""D7""cdef', '""G""g2df ""C""ecAG']",523401,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Gilderoy,"M:4/4
L:1/8
K:Am
P:A
E2|""Am""A2AB cBcd|""Am""efec ""G""d2cd","['""E7""B^GE2 E2(3E^FG', '""Am""ea^ga ""E7""edcB', '""Am""A^GAB cBcd', '""Am""efec ""G""d2cd', '""Am""edcB ABcA']",40231,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Gipsy's Hornpipe,"M:4/4
L:1/8
K:G
P:A
d2|""G""gfed edBd|""C""ed(3efg ""G""B2BA","['""Am""e2A2 ""D7""A2(3def', '""Em""GFGA BABd', '""C""ed(3efg ""G""B2BA', '""G""gfed edBd', '""G""GFGA ""D""BcBA', '""Em""G2E2 E2:']",103245,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
